note_id,hadm_id,sentence_index_1,entity_group_1,word_1,start_1,end_1,score_1,source_model_1,sentence_index_2,entity_group_2,word_2,start_2,end_2,score_2,source_model_2,sentence_diff,relation_type,model_confidence,cui_1,canonical_name_1,cui_2,canonical_name_2
mb-das-may-2011.pdf,1,3,problem,locally advanced disease,24,48,0.9990410804748535,ClinicalBERT,4,DRUG,Paclitaxel,75,85,1.0,Med7,1,TREATS_OR_CAUSES,0.9101668000221252,C4086552,Locally Advanced Disease Clinical Trial Setting,C0144576,paclitaxel
mb-das-may-2011.pdf,1,3,problem,locally advanced disease,24,48,0.9990410804748535,ClinicalBERT,4,DRUG,Carboplatin,90,101,1.0,Med7,1,TREATS_OR_CAUSES,0.8706914782524109,C4086552,Locally Advanced Disease Clinical Trial Setting,UNMAPPED,UNMAPPED
mb-das-may-2011.pdf,1,3,problem,locally advanced disease,24,48,0.9990410804748535,ClinicalBERT,4,treatment,injection paclitaxel,65,85,0.9976865649223328,ClinicalBERT,1,TREATS_OR_CAUSES,0.9151324033737183,C4086552,Locally Advanced Disease Clinical Trial Setting,C0021485,Injection of therapeutic agent
mb-das-may-2011.pdf,1,3,problem,locally advanced disease,24,48,0.9990410804748535,ClinicalBERT,4,treatment,neoadjuvant chemotherapy,35,59,0.9959344863891602,ClinicalBERT,1,TREATS_OR_CAUSES,0.9055526256561279,C4086552,Locally Advanced Disease Clinical Trial Setting,C5392214,Neoadjuvant Chemotherapy
mb-das-may-2011.pdf,1,3,problem,locally advanced disease,24,48,0.9990410804748535,ClinicalBERT,4,treatment,##boplatin,93,101,0.9826952219009399,ClinicalBERT,1,TREATS_OR_CAUSES,0.8278995156288147,C4086552,Locally Advanced Disease Clinical Trial Setting,C0079083,carboplatin
mb-das-may-2011.pdf,1,6,treatment,surgery,43,50,0.9850062727928162,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,1,TREATS_OR_CAUSES,0.8031759858131409,C0038894,Surgery specialty,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,7,treatment,total radical oesophagectomy,16,44,0.9962714314460754,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,0,TREATS_OR_CAUSES,0.7849745154380798,C0192289,Subtotal resection of esophagus,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,7,treatment,feeding jejunostomy,87,107,0.9937885403633118,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,0,TREATS_OR_CAUSES,0.7411243319511414,C0192715,Jejunostomy feeding,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,7,treatment,oesophagogastrostomy,62,82,0.9876308441162109,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,0,TREATS_OR_CAUSES,0.7321298122406006,C0192352,Esophagogastrostomy,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,7,treatment,general anesthesia,119,137,0.7181334495544434,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,0,TREATS_OR_CAUSES,0.8213096261024475,C0002915,General Anesthesia,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,7,treatment,mc,46,48,0.42514505982398987,ClinicalBERT,7,problem,thoracic epidural anesthesia,142,170,0.773012101650238,ClinicalBERT,0,TREATS_OR_CAUSES,0.7142654657363892,C0562425,millicoulomb,C0002913,Epidural Anesthesia
mb-das-may-2011.pdf,1,8,problem,bit of tumour tissue,198,219,0.8337113261222839,ClinicalBERT,8,treatment,resection,243,252,0.925161600112915,ClinicalBERT,0,TREATS_OR_CAUSES,0.7102904319763184,C0475358,Tumor tissue sample,C0015252,removal technique
mb-das-may-2011.pdf,1,21,DRUG,IBUGESIC,6,14,1.0,Med7,21,problem,pain,61,65,0.9946591258049011,ClinicalBERT,0,TREATS_OR_CAUSES,0.936164915561676,UNMAPPED,UNMAPPED,C0030193,Pain
mb-das-may-2011.pdf,1,21,treatment,syrup ibugesic,0,14,0.9951047301292419,ClinicalBERT,21,problem,pain,61,65,0.9946591258049011,ClinicalBERT,0,TREATS_OR_CAUSES,0.9321074485778809,C0458173,Syrup - Food,C0030193,Pain
mb-das-may-2011.pdf,1,21,problem,pain,61,65,0.9946591258049011,ClinicalBERT,21,treatment,resource,72,80,0.9692339301109314,ClinicalBERT,0,TREATS_OR_CAUSES,0.8981171250343323,C0030193,Pain,UNMAPPED,UNMAPPED
mb-das-may-2011.pdf,1,33,treatment,the medicine,4,16,0.9325041770935059,ClinicalBERT,32,problem,any other distress,74,92,0.922585666179657,ClinicalBERT,1,TREATS_OR_CAUSES,0.7164333462715149,C0013227,Pharmaceutical Preparations,C0231303,Distress
mb-das-may-2011.pdf,1,33,treatment,the medicine,4,16,0.9325041770935059,ClinicalBERT,32,problem,any drug reaction,16,33,0.7867304682731628,ClinicalBERT,1,TREATS_OR_CAUSES,0.8227736949920654,C0013227,Pharmaceutical Preparations,C0041755,Adverse reaction to drug
